ID,Anrede,Titel,Vorname,Nachname,Geburtsdatum,Straße,Hausnummer,PLZ,Stadt,Land,PANR,PRNR,Type,RentenAusweis,RentenStatus,Auszahlungsmethode,Bank,IBAN
c0f54c7d-1093-4488-805e-418f16a905a8,Herr,Dr.,Max,Mustermann,12.05.1958,Hauptstraße,123,12345,Gärtringen,Deutschland,002,01120558M07815,Altersrente,True,Aktiv,Banküberweisung,Commerzbank,DE12345678901234567
14eea4d6-4c3e-41e2-8d7e-ebee90b2737d,Frau,,Anna,Schmidt,28.09.1935,Musterweg,456,54321,Gummersbach,Deutschland,026,42280935S57309,Witwenrente,False,Ausgesetzt,Scheckauszahlung,Deutsche Bank,DE98765432109876543
cf462451-a947-4b24-b6ed-436274f5d656,Herr,,Peter,Schneider,08.12.1950,Bahnhofstraße,789,98765,Handewitt,Deutschland,010,17081250S06047,Erwerbsminderungsrente,True,Aktiv,Barauszahlung,Sparkasse,DE87654321098765432
33aec466-301f-4e24-8a03-3be6ced44a4c,Frau,,Sabine,Müller,15.03.1932,Am Markt,456,54321,Potsdam,Deutschland,013,43150332M92054,Erwerbsminderungsrente,False,Ausgesetzt,Banküberweisung,Volksbank,DE54321098765432109
1bcd64b7-cc32-44a7-84e0-d524e73da860,Herr,Prof.,Thomas,Schmidt,22.07.1925,Rathausplatz,789,98765,Magdeburg,Deutschland,021,86220725S41866,Hinterbliebenenrente,True,Aktiv,Banküberweisung,Postbank,DE01234567890123456
0c391a0d-4173-4dcb-97b2-d1f6f32f3da7,Herr,,Markus,Keller,10.09.1920,Lindenstraße,111,12345,Wittmund,Deutschland,002,32100920K32412,Altersrente,True,Aktiv,Banküberweisung,Commerzbank,DE12345678901234567
326d6678-bd53-4291-8112-16b27da9a9a0,Frau,,Laura,Vogel,28.06.1947,Am See,789,98765,Lutzerath,Deutschland,026,97280647V66466,Witwenrente,False,Beendet,Scheckauszahlung,Sparkasse,DE98765432109876543
8667a2a1-f5ae-4717-8c6f-9fff7641ab3e,Frau,,Sabine,Müller,15.04.1955,Hauptstraße,55,54321,Bad Rappenau,Deutschland,009,03150455M55235,Erwerbsminderungsrente,True,Ausgesetzt,Barauszahlung,Volksbank,DE87654321098765432
b50f2c80-51ba-433c-a61d-265f6d1b07f9,Herr,,Stefan,Schmidt,20.09.1955,Rosenweg,7,34567,Ehingen (Donau),Deutschland,018,53200955S28924,Betriebsrente,False,Beendet,Banküberweisung,Postbank,DE34567890123456789
9c685a9a-bc55-4a0f-9716-0920235adc7f,Herr,Dr.,Maximilian,Lehmann,12.09.1965,Ahornstraße,15,67890,Buseck,Deutschland,024,84120965L12906,Altersrente,True,Aktiv,Scheckauszahlung,Volksbank,DE98765432101234567
6161f496-f1dc-4360-b04b-e20c477abc61,Frau,,Anna,Müller,25.03.1952,Lindenallee,8,45678,Südbrookmerland,Deutschland,025,35250352M59601,Witwenrente,False,Aktiv,Banküberweisung,Deutsche Bank,DE12345678901234567
854b7bad-7eac-4ffd-8b9a-71bd1c07764b,Herr,,Thomas,Schmidt,21.08.1965,Birkenweg,3,12345,Hamminkeln,Deutschland,012,12210865S18515,Hinterbliebenenrente,True,Beendet,Barauszahlung,Sparkasse,DE87654321098765432
30a8a455-b8d4-4ebf-ae8f-8d1505f9f0bf,Frau,Prof.,Sophie,Huber,07.12.1968,Rosenstraße,7,56789,Taufkirchen,Deutschland,026,80071268H89403,Betriebsrente,False,Aktiv,Banküberweisung,Commerzbank,DE56789012345678901
4e9b5329-5624-4751-98e9-5a8cfd706bbf,Frau,Dr.,Laura,Müller,15.05.1980,Ahornweg,12,98765,Vaterstetten,Deutschland,010,83150580M81572,Witwenrente,True,Ausgesetzt,Banküberweisung,Volksbank,DE12345678901234567
5d29f5ba-a7cc-4186-9f5c-79dd41ee501a,Herr,,Markus,Wagner,02.10.1972,Lindenstraße,9,54321,Rinteln,Deutschland,013,45021072W22036,Waisenrente,False,Aktiv,Scheckauszahlung,Deutsche Bank,DE23456789012345678
b2c444d9-741d-49db-a749-d2397ae39ed9,Herr,,Thomas,Schmidt,22.08.1965,Rosenweg,7,12345,Oberrot,Deutschland,025,12220865S48377,Erwerbsminderungsrente,True,Beendet,Barauszahlung,Commerzbank,DE34567890123456789
511bd27b-bc4a-4e03-89ca-18db600324af,Frau,,Sandra,Hofmann,10.11.1978,Birkenallee,3,98765,Bretzenheim,Deutschland,018,31101178H97027,Betriebsrente,False,Aktiv,Banküberweisung,Sparkasse,DE45678901234567890
8286804a-15d9-4baa-acea-681530f054e4,Frau,,Melanie,Koch,12.05.1920,Ahornstraße,15,54321,Velbert,Deutschland,024,73120520K76144,Altersrente,True,Ausgesetzt,Scheckauszahlung,Volksbank,DE56789012345678901
d7050a06-a98b-4d0b-af57-81ebbd706e07,Herr,,Michael,Wagner,07.09.1972,Lindenstraße,10,67890,Lauenburg,Deutschland,010,47070972W05371,Witwenrente,False,Aktiv,Banküberweisung,Deutsche Bank,DE67890123456789012
46773d86-357e-44f6-92fd-1bd2cb84680a,Frau,Dr.,Laura,Müller,25.03.1990,Birkenweg,7,12345,Elsdorf-Westermühlen,Deutschland,025,07250390M71418,Erwerbsminderungsrente,True,Beendet,Barauszahlung,Commerzbank,DE12345678901234567
0754968b-89a5-41a3-878d-5f54f8aeadcc,Herr,,Markus,Schneider,15.08.1985,Rosenweg,12,98765,Bargteheide,Deutschland,037,65150885S34489,Erwerbsminderungsrente,False,Aktiv,Banküberweisung,Sparkasse,DE87654321098765432
58dd6935-1dd6-4440-bddc-385fc592b779,Frau,,Julia,Fischer,10.11.1978,Eichenstraße,5,54321,Ditzingen,Deutschland,028,25101178F97861,Waisenrente,True,Ausgesetzt,Banküberweisung,Raiffeisenbank,DE54321098765432109
73bc68cf-0bc9-409d-9fc6-9985ae6f4281,Frau,,Sabine,Meier,08.06.1932,Ahornallee,3,67890,Herbertingen,Deutschland,012,32080632M63264,Altersrente,True,Aktiv,Banküberweisung,Volksbank,DE98765432109876543
e8cb6b9d-d820-400c-97f8-2ad66092a39f,Herr,,Thomas,Schulz,12.04.1975,Lindenstraße,10,13579,Nohfelden,Deutschland,015,26120475S39667,Witwenrente,False,Beendet,Barauszahlung,Deutsche Bank,DE76543210987654321
cf364fc0-1af9-4f1c-97c2-99b7abd8f052,Herr,,Michael,Hoffmann,20.09.1962,Kastanienweg,8,54321,Offenbach am Main,Deutschland,021,51200962H42457,Betriebsrente,True,Aktiv,Banküberweisung,Postbank,DE01234567890123456
1fee82ff-3e2e-4d94-bb76-4804ebfb5347,Frau,Dr.,Anna,Schneider,15.11.1978,Birkenweg,5,12345,Kallmünz,Deutschland,025,31151178S60042,Erwerbsminderungsrente,True,Aktiv,Banküberweisung,Commerzbank,DE87654321098765432
56b6dbf5-9f98-42b5-b949-26094a61ee83,Herr,,Markus,Becker,03.07.1985,Eichenweg,12,98765,Henfstädt,Deutschland,037,26030785B29921,Hinterbliebenenrente,False,Aktiv,Banküberweisung,Sparkasse,DE23456789012345678
fd8d78d6-e0b6-4122-adae-14f31cfeecf7,Herr,Prof. Dr.,Max,Mustermann,20.05.1950,Lindenstraße,7,54321,Peine,Deutschland,018,48200550M09175,Altersrente,True,Aktiv,Banküberweisung,Volksbank,DE12345678901234567
